Plans;Codes;Name;English name;Year;Credits;Language;Semester;Group;Level;Available undergrad;Final level;Plan;Code;Quota;Learning guide;Observations;;;
10AM, 10AK;103000657, 103000740;CORRECTNESS BY CONSTRUCTION;CORRECTNESS BY CONSTRUCTION;1;6;Inglés;2S;;Master;;Master;#REF!;#REF!;6;#REF!;;;;
10AZ;103000863;DATA ANALYSIS;DATA ANALYSIS;2;4,5;Inglés;1S;3;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AZ;103000836;DATA MANAGEMENT AND KNOWLEDGE IN HEALTH;DATA MANAGEMENT AND KNOWLEDGE IN HEALTH;2;4;Inglés;1S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AM;103000541;DATA MINING;DATA MINING (FALL);1;4;Inglés;1S;4;Master;1;Bachelor;#REF!;#REF!;;#REF!;New enrollments will not be accepted after the first week of the semester.;;;
10AZ, 10AK;103000935, 103000389;DATA MINING;DATA MINING (SPRING);1;4;Inglés;2S;4;Master;;Master;#REF!;#REF!;;#REF!;New enrollments will not be accepted after the first week of the semester.;;;
10AN, 10AZ, 10BA;103000610, 103000853, 103000895;DATA PROCESSES;DATA PROCESSES;1;4,5;Inglés;1S;3;Master;1;Bachelor;#REF!;#REF!;;#REF!;;;;
10AZ, 10BA;103000855, 103000908;DATA SCIENCE SEMINARS;DATA SCIENCE SEMINARS;1;4,5;Inglés;2S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AN, 10AN, 10BA;103001021, 103001004, 103000892;DATA VISUALIZATION;DATA VISUALIZATION;2;3;Inglés;1S;;Master;1;Bachelor;#REF!;#REF!;;#REF!;;;;
10AZ, 10BA;103000856, 103000898;DEEP LEARNING;DEEP LEARNING;1;3;Inglés;2S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AN, 10AZ, 10AK, 10BA;103000639, 103000854, 103000387, 103000894;DESIGN OF CLOUD COMPUTING AND BIG DATA ECOSYSTEMS;DESIGN OF CLOUD COMPUTING AND BIG DATA ECOSYSTEMS;2;4,5;Inglés;1S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AZ;103000840;DEVICES AND BIOMETRIC APPLICATIONS FOR E-HEALTH;DEVICES AND BIOMETRIC APPLICATIONS FOR E-HEALTH;2;4;Inglés;1S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AM, 10AZ;103000885, 103000885;SALUD DIGITAL: PROMOCIÓN DEL ENVEJECIMIENTO ACTIVO Y SALUDABLE;E-HEALTH: PROMOTING ACTIVE AND HEALTHY AGEING;1;4,5;Inglés;1S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AZ;103000845;ENTREPRENEURSHIP AND BUSINESS MODELLING;ENTREPRENEURSHIP AND BUSINESS MODELLING;1;6;Inglés;2S;;Master;;Master;#REF!;#REF!;4;#REF!;;;;
10AZ, 10BA;103000835, 103000900;ETHICS AND LAW FOR DATA SCIENCE (BA, AZ);ETHICS AND LAW FOR DATA SCIENCE;1;3;Inglés;2S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AZ;103001060;ETHICS FOR USER RESEARCH 1;ETHICS FOR USER RESEARCH 1;1;2;Inglés;1S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AZ;103000872;EVALUATION OF INTERACTIVE SYSTEMS ;EVALUATION OF INTERACTIVE SYSTEMS ;1;3;Inglés;2S;;Master;;Master;#REF!;#REF!;;#REF!;"The student needs to have background on:
- Human-Computer Interaction (essential).
- Usability (essential).
- System design and prototyping (essential).";;;
10AZ;103000859;EXPERIMENTATION IN SOFTWARE ENGINEERING;EXPERIMENTATION IN SOFTWARE ENGINEERING;1;4,5;Inglés;2S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AM;103000680;FUNDAMENTALS OF BUSINESS ADMINISTRATION;FUNDAMENTALS OF BUSINESS ADMINISTRATION;1;4;Inglés;2S;;Master;1;Bachelor;#REF!;#REF!;;#REF!;;;;
10AZ;103000937;FUNDAMENTALS OF FINANCE;FUNDAMENTALS OF FINANCE;1;6;Inglés;1S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10BA, 10AZ;103001058, 103001062;GENERATIVE AI AND LANGUAGE MODELS;GENERATIVE AI AND LANGUAGE MODELS;1;4,5;Inglés;1S;;Master;;Master;#REF!;#REF!;6;#REF!;;;;
10BA, 10AZ;103000903, 103000834;GRAPH ANALYSIS AND SOCIAL NETWORKS;GRAPH ANALYSIS AND SOCIAL NETWORKS;1;3;Inglés;2S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AZ;103001036;HCI: INTRODUCTION AND DESIGN METHODS;HCI: INTRODUCTION AND DESIGN METHODS;1;6;Inglés;1S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AZ;103000889;IMAGE PROCESSING, ANALYSIS AND CLASSIFICATION;IMAGE PROCESSING, ANALYSIS AND CLASSIFICATION;1;5;Inglés;2S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AZ, 10BA;103000829, 103000901;INFORMATION RETRIEVAL EXTRACTION AND INTEGRATION;INFORMATION RETRIEVAL EXTRACTION AND INTEGRATION;1;4,5;Inglés;2S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AZ;103000848;INNOVATION AND ENTREPENEURSHIP STUDY;INNOVATION AND ENTREPENEURSHIP STUDY;2;6;Inglés;1S;;Master;;Master;#REF!;#REF!;4;#REF!;;;;
10AZ;103000844;INNOVATION AND ENTREPRENEURSHIP SEMINARS;INNOVATION AND ENTREPRENEURSHIP SEMINARS;1;5;Inglés;2S;;Master;;Master;#REF!;#REF!;4;#REF!;;;;
10AN;103000607;INTELLIGENT DATA ANALYSIS;INTELLIGENT DATA ANALYSIS;1;4,5;Inglés;1S;5;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AN, 10AZ;103000606, 103000851;INTELLIGENT SYSTEMS;INTELLIGENT SYSTEMS;1;4,5;Inglés;1S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AZ, 10AK;103000879, 103000392;ENTORNOS VIRTUALES INTELIGENTES;INTELLIGENT VIRTUAL ENVIRONMENTS;2;4;Inglés;1S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AZ;103000842;INTRODUCTION TO INNOVATION AND ENTREPRENEURSHIP MANAGEMENT;INTRODUCTION TO INNOVATION AND ENTREPRENEURSHIP MANAGEMENT;1;6;Inglés;1S;;Master;;Master;#REF!;#REF!;4;#REF!;;;;
10AZ;103000843;INTRODUCTION TO TECHNOLOGY WATCH AND COMPETITIVE INTELLIGENCE;INTRODUCTION TO TECHNOLOGY WATCH AND COMPETITIVE INTELLIGENCE;1;1;Inglés;2S;;Master;;Master;#REF!;#REF!;4;#REF!;;;;
10AK;103000391;DESCUBRIMIENTO DE CONOCIMIENTO EN BASES DE DATOS;KNOWLEDGE DISCOVERY IN DATA BASES;1;4;Inglés;1S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AZ;103000846;LAUNCHING OF ICT PRODUCT/SERVICES TO THE MARKET;LAUNCHING OF ICT PRODUCT/SERVICES TO THE MARKET;1;2;Inglés;2S;;Master;;Master;#REF!;#REF!;4;#REF!;;;;
10AJ;103000364;PROGRAMACION LOGICA;LOGIC PROGRAMMING;1;5;Inglés;1S;;Master;1;Bachelor;#REF!;#REF!;;#REF!;;;;
10AZ, 10BA;103000826, 103000897;MACHINE LEARNING;MACHINE LEARNING;1;4,5;Inglés;1S;;Master;;Master;#REF!;#REF!;6;#REF!;;;;
10AZ;103000866;MASSIVELY PARALLEL MACHINE LEARNING;MASSIVELY PARALLEL MACHINE LEARNING;2;4,5;Inglés;1S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10BA;103000909;MASTER THESIS;MASTER THESIS (12 ECTS);1;12;Inglés;I;1;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AK;103000396;MASTER THESIS;MASTER THESIS (15 ECTS);1;15;Inglés;I;1;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AN;103000629;MASTER THESIS;MASTER THESIS (18 ECTS);2;18;Inglés;I;1;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AZ;103000849;MASTER THESIS;MASTER THESIS (30 ECTS);2;30;Inglés;I;1;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AM;103000486;MODELS AND METHODS FOR PROCESS IMPROVEMENT AND ASSESSMENT;MODELS AND METHODS FOR PROCESS IMPROVEMENT AND ASSESSMENTS;1;4;Inglés;1S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AZ, 10BA, 10AN;103000833, 103000899, 103000924;OPEN DATA AND KNOWLEDGE GRAPHS;OPEN DATA AND KNOWLEDGE GRAPHS;1;4,5;Inglés;1S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AZ;103000884;PERSONALIZATION AND ADAPTIVITY IN E-LEARNING SYSTEMS ;PERSONALIZATION AND ADAPTIVITY IN E-LEARNING SYSTEMS ;2;4,5;Inglés;1S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AJ;103000363;BIOLOGÍA PROGRAMABLE: COMPUTACIÓN CON ADN E INGENIERÍA DE BIOCIRCUITOS;PROGRAMMABLE BIOLOGY: DNA COMPUTING AMD BIOCIRCUITS ENGINEERING;1;5;Inglés;1S;;Master;;Master;#REF!;#REF!;4;#REF!;;;;
10AZ, 10BA;103000888, 103000905;PROGRAMMING FOR DATA SCIENCE;PROGRAMMING FOR DATA SCIENCE;1;5;Inglés;2S;;Master;1;Bachelor;#REF!;#REF!;;#REF!;;;;
10AM, 10AZ;103000871, 103000871;PROGRAMMING OF USER INTERFACES;PROGRAMMING OF USER INTERFACES;1;6;Inglés;1S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AN;103000644;RELATION AND COMMUNICATION PERSONAL SKILLS;RELATION AND COMMUNICATION PERSONAL SKILLS;2;4,5;Inglés;1S;;Master;;Master;#REF!;#REF!;8;#REF!;;;;
10AM, 10AZ;103000482, 103000933;REQUIREMENTS ENGINEERING;REQUIREMENTS ENGINEERING;1;6;Inglés;1S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10BA;103000891;RESEARCH METHODOLOGY;RESEARCH METHODOLOGY;1;1,5;Inglés;2S;;Master;;Master;#REF!;#REF!;;#REF!;Taught the first week of the semester.;;;
10AK;103000394;METODO CIENTIFICO;SCIENTIFIC METHOD;1;2;Inglés;1S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AJ;103000372;SEMINARIOS;SEMINARS;1;10;Inglés;2S;;Master;;Master;#REF!;#REF!;;#REF!;Each seminar has 1.5 ECTS, except S1 and S2 that have 2.0 ECTS. The student can choose freely among all the seminars available, with the condition that the total amount of ECTS must be at least 10. Any question regarding the seminars should be send to masteria.dia@fi.upm.es.;;;
10AZ;103000939;SEMINARS ON SYSTEMS FOR FINANCE;SEMINARS ON SYSTEMS FOR FINANCE;1;4,5;Inglés;2S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AM;103000484;SOFTWARE ARCHITECTURE;SOFTWARE ARCHITECTURE;1;4;Inglés;2S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AM;103000483;SOFTWARE DESIGN;SOFTWARE DESIGN;1;4;Inglés;2S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AM;103001022;SOFTWARE ENGINEERING FOR DEEP LEARNING;SOFTWARE ENGINEERING FOR DEEP LEARNING;1;4;Inglés;1S;;Master;;Master;#REF!;#REF!;;#REF!;"The student needs to have background on:
- Software engineering (essential).
- Python programming language (essential).
- Machine learning (recommended).";;;
10AM;103000488;SOFTWARE METRICS;SOFTWARE METRICS;1;4;Inglés;1S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AM, 10AK;103000485, 103000752;SOFTWARE PROJECT MANAGEMENT;SOFTWARE PROJECT MANAGEMENT;1;4;Inglés;1S;;Master;;Master;#REF!;#REF!;6;#REF!;;;;
10AM;103000487;SOFTWARE QUALITY MANAGEMENT;SOFTWARE QUALITY MANAGEMENT;1;4;Inglés;2S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AZ, 10BA;103000825, 103000896;STATISTICAL DATA ANALYSIS;STATISTICAL DATA ANALYSIS;2;4,5;Inglés;1S;5;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AM;103001023;STRATEGIC MANAGEMENT & ENTREPRENEURSHIP;STRATEGIC MANAGEMENT & ENTREPRENEURSHIP;1;4;Inglés;2S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AZ;103000865;DATA MINING AND TIME SERIES;TIME SERIES;2;3;Inglés;1S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10BA;103000907;TIME SERIES DATA MINING;TIME SERIES DATA MINING;1;3;Inglés;2S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AM, 10AZ;103000874, 103000874;USER EXPERIENCE AND MOBILE INTERACTION   ;USER EXPERIENCE AND MOBILE INTERACTION   ;1;6;Inglés;1S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10AM, 10AZ;103000489, 103000934;VERIFICATION AND VALIDATION;VERIFICATION AND VALIDATION;1;6;Inglés;1S;;Master;;Master;#REF!;#REF!;6;#REF!;;;;
10AN;103000624;DISEÑO Y SEGURIDAD DE REDES;NETWORK DESIGN AND SECURITY;1;6;EF;2S;;Master;;Master;#REF!;#REF!;;#REF!;;;;
10ID;105000367;MICROECONOMÍA;MICROECONOMY;2;6;EF;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;;;;
10ID;105000373;AMPLIACIÓN DE MACROECONOMÍA;AMPLIATION OF MACROECONOMY;2;6;EF;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;;;;
10ID;105000389;ECONOMÍA MUNDIAL, ESPAÑOLA Y REGIONAL;WORLD, SPANISH AND REGIONAL ECONOMY;3;3;EF;2S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;;;;
10ID;105000411;POLÍTICAS SECTORIALES;SECTORAL POLICIES;4;3;EF;1S;;Bachelor;;Bachelor;#REF!;#REF!;;#REF!;;;;
